src_bytes,dst_bytes,rate,label
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1428571,1
1.000024,1.0,1.1428571,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1,1
1.000024,1.0,1.1,1
1.000024,1.0,1.25,1
1.000024,1.0,1.1,1
1.000024,1.0,1.125,1
1.000024,1.0,1.125,1
1.000024,1.0,1.125,1
1.000024,1.0,1.125,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.3333333,1
1.000024,1.0,1.125,1
1.000024,1.0,1.1666666,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.3333333,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.3333333,1
1.000024,1.0,1.2,1
1.000024,1.0,1.125,1
1.000024,1.0,1.3333333,1
1.000024,1.0,1.3333333,1
1.000024,1.0,1.1666666,1
1.000024,1.0,1.125,1
1.000024,1.0,1.125,1
1.000024,1.0,1.125,1
1.000024,1.0,1.125,1
1.000024,1.0,1.125,1
1.000024,1.0,1.3333333,1
1.000024,1.0,1.5,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.25,1
1.0002465,1.0000663,1.0000771,1
1.000024,1.0,1.1428571,1
1.000024,1.0,1.125,1
1.000024,1.0,1.2,1
1.0017859,1.0003897,1.0000448,1
1.000024,1.0,2.0,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1111112,1
1.0112437,1.0004861,1.0000986,1
1.000133,1.0002611,1.0000772,1
1.000024,1.0,1.1666666,1
1.000024,1.0,1.1428571,1
1.0072588,1.0001088,1.0001878,1
1.000024,1.0,1.1666666,1
1.000024,1.0,1.1666666,1
1.0001307,1.0003694,1.0000343,1
1.0043315,1.0003734,1.0000106,1
1.0001334,1.0004396,1.0000393,1
1.000133,1.0005825,1.0000651,1
1.000024,1.0,2.0,1
1.000024,1.0,1.3333333,1
1.0000117,1.0,1.1111112,1
1.000024,1.0,2.0,1
1.0001543,1.0131474,1.000186,1
1.000024,1.0,1.125,1
1.000024,1.0,1.125,1
1.000024,1.0,1.3333333,1
1.000024,1.0,1.1428571,1
1.000024,1.0,1.125,1
1.000024,1.0,2.0,1
1.0001252,1.000716,1.0000737,1
1.0001262,1.0003481,1.0000395,1
1.0004715,1.0003664,1.000041,1
1.000024,1.0,1.3333333,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.1111112,1
1.000024,1.0,1.2,1
1.0000325,1.0000386,1.0000602,1
1.0001252,1.0000583,1.0000594,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.0000743,1.0002126,1.0000409,1
1.0021205,1.0003903,1.0000533,1
1.0001252,1.0141935,1.0000573,1
1.000015,1.0,1.1111112,1
1.0000019,1.0,2.0,1
1.000015,1.0,1.3333333,1
1.0000129,1.0,1.3333333,1
1.0000129,1.0,1.1111112,1
1.0000129,1.0,1.1111112,1
1.0000323,1.0,1.000003,1
1.0000323,1.0,1.000003,1
1.000015,1.0,2.0,1
1.000015,1.0,1.1428571,1
1.0000129,1.0,1.3333333,1
1.000015,1.0,1.1666666,1
1.0000129,1.0,1.125,1
1.0000129,1.0,1.5,1
1.000015,1.0,1.1666666,1
1.0000129,1.0,1.125,1
1.0000129,1.0,1.125,1
1.000015,1.0,1.0384616,1
1.0000129,1.0,1.03125,1
1.0000129,1.0,2.0,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1,1
1.000015,1.0,1.125,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.2,1
1.000015,1.0,1.1428571,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.125,1
1.000015,1.0,1.5,1
1.000015,1.0,1.125,1
1.000015,1.0,1.25,1
1.0000917,1.000343,1.0000145,1
1.000015,1.0,1.25,1
1.000015,1.0,1.125,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.125,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.125,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1111112,1
1.0000794,1.0002546,1.0000398,1
1.0000129,1.0,1.125,1
1.000015,1.0,1.1111112,1
1.0000129,1.0,1.5,1
1.000015,1.0,1.2,1
1.0000129,1.0,1.125,1
1.0000129,1.0,2.0,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.2,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,2.0,1
1.000015,1.0,1.1,1
1.000015,1.0,1.1,1
1.000015,1.0,1.2,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.125,1
1.000015,1.0,1.125,1
1.000015,1.0,1.125,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.25,1
1.000015,1.0,1.125,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.125,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.125,1
1.000015,1.0,1.125,1
1.000015,1.0,1.125,1
1.000015,1.0,1.125,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.125,1
1.000015,1.0,2.0,1
1.000015,1.0,2.0,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.0000366,1.0,1.0000002,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.125,1
1.000015,1.0,2.0,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.125,1
1.000015,1.0,1.125,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.125,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.125,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.1111112,1
1.000015,1.0,2.0,1
1.000015,1.0,2.0,1
1.000015,1.0,1.125,1
1.000015,1.0,2.0,1
1.000015,1.0,1.125,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.125,1
1.000015,1.0,1.125,1
1.000015,1.0,1.1111112,1
1.0005234,1.1843448,1.0002177,1
1.000015,1.0,2.0,1
1.000015,1.0,2.0,1
1.000015,1.0,1.5,1
1.0000813,1.0024947,1.0001179,1
1.000015,1.0,1.1428571,1
1.000049,1.0000583,1.0000721,1
1.000015,1.0,1.5,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.1,1
1.000015,1.0,1.125,1
1.000015,1.0,1.125,1
1.000015,1.0,2.0,1
1.000015,1.0,1.125,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.3333333,1
1.000015,1.0,1.3333333,1
1.0004519,1.0004025,1.0000652,1
1.000015,1.0,1.125,1
1.000015,1.0,1.2,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.25,1
1.000015,1.0,1.25,1
1.000015,1.0,2.0,1
1.000015,1.0,2.0,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.125,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1,1
1.000015,1.0,1.1,1
1.000015,1.0,1.25,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.3333333,1
1.0020926,1.000379,1.0000513,1
1.0000129,1.0,1.03125,1
1.0000129,1.0,1.03125,1
1.000015,1.0,1.25,1
1.0000834,1.0015737,1.0000889,1
1.0001975,1.0000583,1.0000843,1
1.0000129,1.0,1.125,1
1.000015,1.0,1.2,1
1.0000129,1.0,2.0,1
1.000015,1.0,1.1111112,1
1.0000366,1.0,1.0000021,1
1.0001968,1.0,1.0000328,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.2,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.1111112,1
1.000015,1.0,1.25,1
1.000015,1.0,1.1666666,1
1.000015,1.0,1.1666666,1
1.0000377,1.0,1.1,1
1.000015,1.0,1.1428571,1
1.000015,1.0,1.1428571,1
1.000015,1.0,1.1666666,1
1.0000019,1.0,2.0,1
1.0000019,1.0,2.0,1
1.000015,1.0,1.1666666,1
1.0001074,1.000581,1.0000236,1
